Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INTERFERON_ALPHA_RESPONSE	3	3	0.173256510458102	0.485809375624831	0.163709417330118	0.499105579603286	0.312552865166728	0.335396162273168	1	0.0808555983700523	0.118905291720665	1	0.335396162273168	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INTERFERON_GAMMA_RESPONSE	3	3	0.137441670058944	0.318141073358436	0.132345511332109	0.326359762879912	0.180699403299492	0.194014251547803	1	0.0808555983700523	0.118905291720665	1	0.194014251547803	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_MITOTIC_SPINDLE	3	3	0.640527318329889	0.580073143922042	0.63831263735934	0.572730676278605	-0.0604541744078473	-0.0655819610807351	-1	0.0808555983700523	0.118905291720665	1	0.0655819610807351	Higher_in_Control	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_NOTCH_SIGNALING	3	3	0.365721547607803	0.425334931340721	0.36675913369122	0.432120991977064	0.0596133837329179	0.0653618582858438	1	0.0808555983700523	0.118905291720665	1	0.0653618582858438	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_KRAS_SIGNALING_DN	3	3	-0.181304945672258	-0.125799714357453	-0.181670464218293	-0.12167301094535	0.0555052313148045	0.0599974532729432	1	0.0808555983700523	0.118905291720665	1	0.0599974532729432	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_MYC_TARGETS_V2	3	3	0.465607169331474	0.520064961531208	0.466718438006552	0.526167674979955	0.0544577921997336	0.059449236973403	1	0.0808555983700523	0.118905291720665	1	0.059449236973403	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_G2M_CHECKPOINT	3	3	0.650636332826923	0.611084137762133	0.650805374747196	0.603728134469237	-0.0395521950647895	-0.0470772402779586	-1	0.0808555983700523	0.118905291720665	1	0.0470772402779586	Higher_in_Control	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_IL6_JAK_STAT3_SIGNALING	3	3	0.212664414751636	0.251960884701612	0.210961783632486	0.255644842678581	0.0392964699499763	0.0446830590460949	1	0.0808555983700523	0.118905291720665	1	0.0446830590460949	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INFLAMMATORY_RESPONSE	3	3	0.14582156666403	0.186908354186156	0.14694940764198	0.187633118039556	0.0410867875221258	0.0406837103975765	1	0.0808555983700523	0.118905291720665	1	0.0406837103975765	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_PROTEIN_SECRETION	3	3	0.58871708176843	0.554216439569649	0.587904329964201	0.548697872488452	-0.0345006421987817	-0.0392064574757482	-1	0.0808555983700523	0.118905291720665	1	0.0392064574757482	Higher_in_Control	FALSE
