L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
PTGS2	CAV1	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	1.43179027917079e-105	6.09942658926758e-103	3.59367888868314	2.85666377822731	1.01324682370332e-09	1	78	142	0.00781940648616405	1	0	-0.649553427374649	-1.80024512590332
ICAM1	CAV1	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	6.38741146109128e-105	1.36051864121244e-102	2.27020958061519	2.85666377822731	4.52023209599185e-09	1	78	142	0.00781940648616405	1	0	4.43472153238014	-1.80024512590332
C3	C3AR1	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	3.58307532726073e-100	5.08796696471024e-98	1.03750240630761	1.26388004592527	9.33731246884256e-08	1	53	98	0.00237844866037213	1	0	6.01447233214249	0.834399464390991
NTN1	ADORA2B	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	4.35167086322226e-89	4.6345294693317e-87	2.55046850192667	1.13137475173186	2.92963257246619e-08	1	37	69	0.000898205130531973	1	0	-4.07918492022003	1.2071146961789
MMP1	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	6.09194713273067e-88	5.19033895708653e-86	6.5826728767406	1.55592581232681	9.06665981306426e-10	1	86	157	0.0193912226644848	1	0	2.74445274022874	1.98598310774521
PKM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	7.2047219443739e-87	5.11535258050547e-85	1.31958137702534	1.55592581232681	1.07228052860788e-08	1	86	157	0.0193912226644848	1	0	2.53220252872908	1.98598310774521
VIM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	5.94311320164196e-86	3.61680889128497e-84	1.57490990455751	1.55592581232681	8.84514990951106e-08	1	86	157	0.0193912226644848	1	0	4.71465094338074	1.98598310774521
PTGS2	CAV1	R-HSA-9705683	REACTOME_SARS_COV_2_HOST_INTERACTIONS	1.76431660596347e-85	9.39498592675545e-84	3.59367888868314	2.85666377822731	1.01324682370332e-09	1	77	140	0.0153963368563966	1	0	-0.649553427374649	-1.80024512590332
MMP7	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	3.62275561643745e-85	1.71477099178039e-83	3.99573802560341	1.55592581232681	5.39175604194437e-07	1	86	157	0.0193912226644848	1	0	7.74654491896859	1.98598310774521
ICAM1	CAV1	R-HSA-9705683	REACTOME_SARS_COV_2_HOST_INTERACTIONS	7.87085669868584e-85	3.04816813967288e-83	2.27020958061519	2.85666377822731	4.52023209599185e-09	1	77	140	0.0153963368563966	1	0	4.43472153238014	-1.80024512590332
